,Sending Country Code,Receiving Country Code,Participants
123,FR,RO,2163
124,SE,DE,2136
125,UK,SE,2071
126,DK,DE,2034
127,PT,DE,2033
128,SE,ES,2031
129,NL,DK,2025
130,IT,HU,1987
131,SE,NL,1986
132,EL,FR,1982
133,RO,DE,1977
134,CZ,FI,1962
135,CZ,UK,1952
136,FI,FR,1933
137,EL,DE,1911
138,BE,NL,1856
139,ES,RO,1855
140,DK,ES,1847
141,EL,ES,1838
142,FR,EL,1837
143,AT,FR,1786
144,RO,PL,1774
145,NL,PT,1754
146,DK,FR,1737
147,FR,LT,1722
148,AT,UK,1718
149,UK,DK,1706
150,PT,FR,1686
151,IT,LT,1680
152,IT,IE,1680
153,BE,FI,1668
154,DK,NL,1652
155,AT,DE,1622
156,BE,PT,1622
157,PL,UK,1601
158,CZ,AT,1588
159,ES,SI,1581
160,ES,LT,1580
161,RO,HU,1572
162,AT,IT,1556
163,DE,EL,1553
164,BE,SE,1544
165,DE,EE,1538
166,CZ,IT,1536
167,RO,PT,1524
168,LT,PT,1515
169,NO,FR,1508
170,DE,LV,1507
171,PT,NL,1499
172,SE,IT,1495
173,NO,UK,1488
174,AT,SE,1481
175,FI,AT,1476
176,NO,DE,1466
177,PL,BE,1465
178,ES,SK,1454
179,NL,AT,1443
180,PL,HR,1425
181,IT,DK,1418
182,PL,NL,1417
183,NL,TR,1405
184,IT,EL,1393
185,NL,IE,1391
186,NL,BE,1358
187,TR,BE,1339
188,PT,HU,1327
189,AT,NL,1321
190,PL,AT,1303
191,EL,IT,1288
192,DE,LT,1261
193,SK,DE,1238
194,NL,HU,1236
195,IT,TR,1224
196,AT,FI,1223
197,SI,DE,1215
198,PL,HU,1213
199,IE,NL,1204
200,LT,ES,1197
201,HU,IT,1186
202,SK,ES,1172
203,PL,EL,1170
204,PL,TR,1168
205,BE,DK,1144
206,ES,EL,1135
207,SK,PL,1124
208,UK,AT,1113
209,UK,NO,1110
210,TR,SI,1102
211,CZ,BE,1099
212,CZ,PL,1097
213,EL,CZ,1093
214,CZ,NL,1091
215,CZ,SI,1090
216,PT,RO,1089
217,NO,ES,1085
218,BE,NO,1080
219,CZ,SE,1067
220,DE,SI,1067
221,FI,CZ,1058
222,UK,CZ,1055
223,RO,TR,1030
224,HU,ES,1028
225,PT,BE,1026
226,EL,PL,1024
227,LU,DE,1017
228,FR,LV,1015
229,LT,CZ,1014
230,BG,DE,1007
231,NO,NL,1003
232,UK,BE,1001
233,PL,SK,995
234,TR,LV,994
235,LT,IT,988
236,FI,IT,987
237,TR,UK,975
238,BE,AT,968
239,ES,TR,966
240,CZ,NO,955
241,UK,FI,951
242,PL,NO,945
243,NO,DK,944
244,SK,PT,940
245,NL,CZ,935
246,TR,SE,924
247,PL,SI,924
248,FR,SI,921
249,FR,SK,920
250,IT,SK,917
251,PT,SI,893
252,HU,FR,884
253,TR,AT,884
254,PL,FI,880
255,TR,SK,880
256,TR,EL,875
257,NO,IT,875
258,LT,DE,869
259,ES,HR,868
260,BE,IE,861
261,FI,BE,859
262,SI,PT,854
263,FR,EE,844
264,PT,UK,842
265,BE,CZ,842
266,EL,PT,839
267,IT,EE,831
268,HR,DE,831
269,DK,IT,811
270,UK,PT,810
271,SE,AT,805
272,LT,FR,795
273,HU,NL,790
274,IT,LV,786
275,PT,LT,773
276,DE,HR,769
277,SI,ES,765
278,DK,NO,760
279,NL,PL,752
280,HR,PL,747
281,HU,PT,739
282,HR,ES,739
283,DE,IS,738
284,AT,NO,737
285,PL,SE,721
286,CZ,EL,720
287,FR,HR,713
288,SK,IT,706
289,HR,IT,704
290,IT,HR,698
291,AT,DK,696
292,ES,LV,693
293,SK,FR,693
294,IE,UK,691
295,HR,PT,687
296,BG,ES,677
297,FI,SE,673
298,CY,EL,664
299,AT,PT,664
300,BE,HU,661
301,PL,DK,659
302,FI,PT,653
303,DE,RO,652
304,LV,DE,650
305,CZ,TR,644
306,LU,FR,641
307,AT,IE,640
308,BG,PL,640
309,TR,FI,621
310,IT,SI,620
311,RO,BE,618
312,RO,CZ,618
313,SI,CZ,617
314,BE,PL,616
315,ES,BG,615
316,IE,IT,615
317,HR,AT,602
318,SI,AT,599
319,SE,PT,597
320,PT,SK,597
321,FR,BG,595
322,BG,IT,595
323,CZ,EE,590
324,HU,AT,578
325,IT,BG,577
326,PL,BG,575
327,SE,IE,571
328,HU,PL,571
329,FI,IE,570
330,CZ,DK,565
331,DK,AT,559
332,PT,FI,559
333,LV,ES,558
334,HU,FI,557
335,LT,FI,556
336,HU,UK,554
337,CZ,LT,553
338,LT,TR,552
339,RO,EL,552
340,PT,AT,551
341,LV,LT,548
342,AT,BE,540
343,PT,HR,538
344,BG,CZ,522
345,SE,BE,521
346,LT,PL,519
347,FI,HU,516
348,PL,RO,516
349,ES,EE,516
350,SK,AT,514
351,HR,CZ,512
352,EL,NL,503
353,CZ,IE,501
354,NO,PT,495
355,HU,BE,488
356,EL,UK,487
357,IE,AT,479
358,EL,BE,475
359,RO,AT,474
360,EE,DE,473
361,SK,FI,466
362,MT,UK,464
363,NO,SE,462
364,SE,CZ,461
365,PT,SE,460
366,AT,CZ,450
367,DK,PT,450
368,LV,CZ,448
369,DK,BE,443
370,SK,HU,442
371,FR,IS,442
372,BG,FR,440
373,IE,SE,435
374,SI,FR,434
375,LV,PT,430
376,TR,DK,427
377,RO,NL,423
378,DE,SK,423
379,TR,EE,410
380,BE,TR,409
381,TR,HR,409
382,IT,MT,400
383,LT,NL,397
384,SI,NL,396
385,DE,BG,394
386,LT,HR,388
387,IE,CZ,387
388,IE,BE,386
389,SK,SI,385
390,PT,DK,384
391,FI,DK,383
392,DK,SE,383
393,NO,AT,382
394,LT,BE,381
395,UK,PL,379
396,DK,TR,376
397,PT,EL,376
398,CZ,HU,371
399,UK,HU,370
400,PT,NO,362
401,LT,SE,360
402,SE,NO,350
403,DK,IE,348
404,CZ,SK,347
405,SK,LT,345
406,HU,CZ,345
407,UK,IE,345
408,AT,TR,340
409,HR,SI,340
410,PL,CY,339
411,FI,NO,337
412,PL,IE,336
413,SK,BE,333
414,PT,TR,333
415,LV,FR,333
416,FR,CY,331
417,BG,PT,329
418,NL,EL,326
419,UK,MT,324
420,EL,FI,324
421,SI,PL,321
422,DE,CY,321
423,LV,IT,318
424,EL,HU,318
425,EL,AT,311
426,CZ,HR,310
427,IE,DK,304
428,TR,BG,304
429,PL,LT,303
430,EL,SE,303
431,FI,PL,300
432,LT,NO,299
433,SE,DK,292
434,LT,CY,292
435,AT,PL,288
436,MT,IT,286
437,FI,SI,282
438,LV,NL,281
439,HR,FR,281
440,NO,BE,280
441,EE,ES,279
442,EE,CZ,279
443,CZ,LV,278
444,SI,BE,277
445,EE,FI,274
446,SI,UK,270
447,BG,TR,264
448,PL,EE,262
449,PL,LV,261
450,LV,PL,261
451,EE,FR,260
452,EL,RO,259
453,DK,CZ,256
454,LT,EL,256
455,SK,HR,254
456,LT,AT,250
457,EL,CY,250
458,EL,TR,249
459,IT,CY,249
460,BE,SI,248
461,LT,SI,247
462,DE,MT,246
463,NL,LT,246
464,NO,CZ,243
465,BG,AT,243
466,RO,UK,242
467,LT,EE,242
468,SK,NL,242
469,SI,FI,238
470,LT,LV,237
471,BG,BE,237
472,EE,PT,236
473,PT,BG,236
474,UK,TR,235
475,SI,IT,233
476,LT,DK,232
477,IS,DK,231
478,BE,EL,230
479,NL,SI,228
480,LT,HU,228
481,EE,NL,226
482,SI,HR,223
483,HU,SE,220
484,BE,LT,220
485,MK,TR,219
486,SE,TR,218
487,IE,FI,218
488,RO,DK,216
489,SK,TR,216
490,NO,IE,211
491,SK,LV,210
492,EE,IT,209
493,LU,BE,205
494,SK,EL,205
495,SK,UK,203
496,BE,EE,202
497,PT,LV,201
498,BE,CY,197
499,HU,RO,197
500,NL,EE,192
501,BE,HR,192
502,RO,SK,190
503,DE,LU,190
504,RO,HR,188
505,MK,HR,187
506,FI,EE,187
507,SE,PL,187
508,NL,LV,186
509,RO,LT,183
510,SK,NO,183
511,SK,EE,183
512,LV,SE,183
513,LV,FI,183
514,DK,FI,182
515,UK,CY,179
516,IE,HU,178
517,SE,FI,178
518,SI,SE,178
519,BG,EL,176
520,LT,UK,173
521,HR,BE,173
522,HU,TR,173
523,FI,HR,172
524,LV,EL,171
525,SE,HU,171
526,LU,PT,166
527,ES,IS,166
528,AT,EL,165
529,BG,UK,164
530,CY,ES,162
531,BG,NL,162
532,EL,LT,162
533,RO,NO,162
534,RO,BG,161
535,PT,IE,160
536,LV,EE,160
537,AT,EE,158
538,LT,SK,158
539,IS,ES,157
540,IT,IS,157
541,IE,PL,156
542,NL,IS,156
543,AT,SI,156
544,FR,LU,155
545,CZ,BG,155
546,FI,EL,154
547,RO,FI,154
548,EE,UK,153
549,MK,SI,153
550,LV,BE,152
551,EE,SE,151
552,AT,HU,150
553,IE,NO,150
554,CZ,CY,149
555,PT,EE,148
556,LV,TR,147
557,EL,SI,147
558,IS,UK,145
559,NL,HR,145
560,ES,CY,145
561,IE,MT,144
562,HR,NL,143
563,HU,IE,143
564,LV,AT,142
565,NO,HU,140
566,DK,IS,139
567,HU,EL,138
568,HU,DK,138
569,CY,UK,137
570,EL,SK,137
571,CZ,IS,136
572,LV,HU,136
573,LV,HR,136
574,BE,RO,135
575,HU,EE,134
576,DK,HU,133
577,HR,HU,131
578,FR,MT,130
579,MT,IE,129
580,BG,RO,129
581,HU,NO,128
582,LT,BG,128
583,EL,DK,126
584,AT,HR,126
585,SI,DK,126
586,EE,HU,125
587,EE,AT,120
588,IS,DE,119
589,BG,HR,119
590,IS,SE,118
591,DK,PL,118
592,UK,IS,117
593,BE,LV,117
594,SI,NO,116
595,SI,TR,116
596,EE,BE,115
597,UK,EL,114
598,HR,SK,114
599,SI,IE,113
600,EL,NO,112
601,NO,FI,111
602,SE,IS,110
603,AT,IS,110
604,HR,SE,108
605,FI,SK,108
606,TR,IE,108
607,RO,SE,107
608,RO,SI,106
609,LV,NO,106
610,IS,NO,106
611,IT,LU,106
612,NO,PL,104
613,IE,PT,103
614,MK,IT,103
615,RO,IE,102
616,BE,BG,101
617,UK,SI,101
618,BE,MT,101
619,SE,EL,100
620,AT,LT,100
621,PL,MT,100
622,IS,NL,99
623,LV,BG,98
624,NL,RO,96
625,SI,SK,96
626,LU,AT,95
627,CY,BE,95
628,MK,DE,94
629,CZ,MT,94
630,LV,CY,94
631,TR,MK,93
632,SK,SE,93
633,MK,PL,93
634,NL,CY,92
635,IS,FR,92
636,UK,EE,91
637,SK,BG,91
638,HU,SI,91
639,BG,HU,91
640,MK,BG,90
641,FI,TR,89
642,LV,DK,89
643,EL,HR,87
644,NL,BG,87
645,RO,LV,87
646,EE,PL,87
647,CZ,RO,85
648,SK,IE,84
649,PL,IS,83
650,IE,SI,82
651,LV,SK,81
652,HR,UK,81
653,DK,EL,79
654,CY,NL,79
655,NL,SK,79
656,MT,FI,79
657,FI,CY,79
658,EE,DK,79
659,NO,IS,78
660,CY,IT,77
661,EL,EE,77
662,LU,UK,77
663,LU,ES,77
664,BG,SK,77
665,SK,DK,76
666,MT,BE,76
667,HU,HR,75
668,UK,HR,75
669,AT,LV,74
670,MT,CZ,74
671,EL,IE,73
672,FI,LT,71
673,EL,BG,71
674,SI,HU,70
675,BE,SK,70
676,FI,MT,70
677,MK,RO,69
678,HR,TR,69
679,DK,SI,69
680,LV,SI,68
681,CY,CZ,67
682,SI,LT,67
683,HR,LT,66
684,FI,IS,66
685,NL,MT,65
686,DK,CY,64
687,EE,NO,64
688,TR,NO,64
689,HR,FI,64
690,NO,EL,63
691,AT,SK,63
692,CY,FR,63
693,IS,CZ,62
694,LV,UK,62
695,NO,SI,61
696,HU,LT,60
697,BG,LV,59
698,PL,MK,59
699,SE,SI,59
700,HR,LV,58
701,LT,MT,58
702,BE,IS,57
703,DK,MT,55
704,IS,IT,55
705,HU,SK,54
706,MT,PL,54
707,EL,LV,53
708,AT,RO,53
709,BG,LT,52
710,DK,LT,52
711,MK,PT,51
712,NO,TR,50
713,BG,SI,50
714,LU,IT,50
715,LV,RO,50
716,ES,MT,49
717,MK,ES,49
718,IE,HR,47
719,BG,FI,47
720,LT,IE,47
721,HR,EE,46
722,BG,SE,46
723,IT,MK,45
724,CY,DE,45
725,LU,CZ,45
726,SI,EE,45
727,SK,IS,45
728,SK,RO,44
729,CY,PT,44
730,SI,EL,44
731,EE,TR,43
732,SE,HR,42
733,MT,FR,42
734,HR,EL,42
735,UK,SK,41
736,ES,LU,41
737,IE,EL,41
738,HU,CY,41
739,IS,AT,40
740,CY,PL,40
741,SE,LT,39
742,MT,NL,39
743,HU,LV,39
744,AT,MT,38
745,MK,CZ,38
746,EE,LV,37
747,HU,BG,36
748,LT,RO,36
749,IS,BE,36
750,DK,RO,35
751,LU,HU,35
752,FI,LV,35
753,MT,SE,35
754,EE,EL,35
755,IE,BG,34
756,RO,CY,34
757,AT,CY,34
758,LV,MT,33
759,BG,NO,33
760,MK,AT,33
761,UK,LT,33
762,LU,FI,33
763,DK,LV,33
764,IE,CY,33
765,CZ,LU,33
766,MT,DE,32
767,PT,CY,32
768,RO,EE,32
769,SK,CY,32
770,HR,DK,32
771,DK,EE,31
772,CZ,LI,31
773,PL,LU,31
774,ES,MK,30
775,BG,DK,30
776,CY,HU,30
777,HR,BG,30
778,EE,HR,30
779,DE,LI,30
780,LU,SE,30
781,SE,MT,30
782,LU,NL,29
783,FR,MK,29
784,MT,LT,29
785,EE,CY,29
786,UK,RO,28
787,MT,DK,28
788,MT,ES,27
789,LI,ES,27
790,HR,IE,27
791,EE,SI,26
792,EE,LT,26
793,SE,EE,25
794,BG,MK,25
795,IS,EL,25
796,BG,EE,25
797,MK,LT,25
798,IE,SK,24
799,BG,IE,24
800,UK,LV,23
801,NO,SK,23
802,HR,NO,23
803,IE,TR,23
804,EE,IE,23
805,CY,FI,22
806,CY,AT,22
807,FI,BG,22
808,IS,HU,22
809,SI,LV,21
810,NO,LV,20
811,SI,IS,19
812,AT,BG,19
813,EE,SK,19
814,IS,FI,19
815,UK,BG,19
816,LI,FR,18
817,CY,IE,18
818,LI,DE,18
819,MK,SE,18
820,FI,LI,18
821,CY,DK,17
822,UK,LU,17
823,AT,LU,17
824,SI,MT,17
825,IE,EE,17
826,FI,LU,17
827,HU,IS,17
828,IS,SI,16
829,DK,BG,16
830,MT,AT,16
831,LI,FI,16
832,MK,FR,16
833,LV,IS,16
834,CY,SE,16
835,HR,RO,16
836,PT,LU,15
837,FI,RO,15
838,BG,MT,15
839,EE,IS,14
840,PL,LI,14
841,SE,SK,14
842,CY,LT,14
843,CY,SI,14
844,MT,LV,14
845,LI,NL,13
846,LI,IE,13
847,NO,LT,13
848,MK,SK,13
849,LI,CZ,12
850,SE,LV,12
851,BG,CY,12
852,SK,MT,12
853,BE,LI,12
854,TR,MT,12
855,SI,CY,12
856,NO,EE,11
857,CY,EE,11
858,SI,RO,10
859,SI,MK,10
860,HR,MK,10
861,LI,PL,10
862,MT,HU,10
863,RO,MK,10
864,LI,BE,10
865,CY,SK,10
866,RO,IS,10
867,LV,LI,9
868,RO,LI,9
869,EL,LU,9
870,HU,LI,9
871,IS,PL,9
872,LU,PL,9
873,LI,IT,9
874,LV,IE,9
875,LI,UK,9
876,SK,MK,9
877,MK,LV,9
878,MK,NL,9
879,LI,NO,9
880,IE,LT,8
881,FR,RS,8
882,IS,PT,8
883,LT,IS,8
884,LU,MT,8
885,SI,BG,8
886,DK,HR,8
887,HR,MT,7
888,CY,LV,7
889,DE,MK,7
890,DK,SK,7
891,IS,EE,7
892,EL,MT,7
893,MT,SK,7
894,NO,RO,7
895,HU,MT,7
896,EE,BG,7
897,NO,HR,6
898,LU,IE,6
899,HU,LU,6
900,MK,LI,6
901,PT,IS,6
902,SE,RO,6
903,LU,EL,6
904,CY,TR,6
905,BE,LU,6
906,LT,LU,6
907,CY,BG,6
908,CZ,MK,6
909,HR,CY,6
910,LI,HU,6
911,MK,HU,5
912,MT,HR,5
913,NO,BG,5
914,IE,LI,5
915,IS,IE,5
916,EL,IS,5
917,CY,RO,5
918,BG,LI,5
919,LI,PT,5
920,LT,MK,5
921,LI,DK,4
922,LI,IS,4
923,IT,LI,4
924,PT,MK,4
925,LV,MK,4
926,IE,RO,4
927,DE,RS,4
928,IE,IS,4
929,EE,RO,4
930,LI,SE,4
931,IS,LT,4
932,LU,CY,4
933,NO,MT,4
934,MT,SI,4
935,SE,BG,4
936,MT,PT,4
937,MT,EE,4
938,MT,NO,4
939,IE,LV,4
940,MT,TR,3
941,BG,RS,3
942,IS,LV,3
943,IS,HR,3
944,IE,LU,3
945,LI,RO,3
946,RO,RS,3
947,NL,MK,3
948,LU,SI,3
949,LI,LU,3
950,LI,CY,3
951,MK,NO,3
952,LU,LI,3
953,SE,CY,3
954,PL,RS,3
955,UK,LI,2
956,MK,BE,2
957,FR,LI,2
958,UK,MK,2
959,BG,IS,2
960,DK,LI,2
961,NL,LU,2
962,SE,MK,2
963,SK,LU,2
964,BG,LU,2
965,IS,RO,2
966,ES,LI,2
967,LV,LU,2
968,LU,NO,2
969,HR,IS,2
970,IS,BG,1
971,FI,RS,1
972,LI,LV,1
973,NO,CY,1
974,BE,RS,1
975,LI,BG,1
976,SI,LI,1
977,CY,LU,1
978,ES,RS,1
979,TR,LU,1
980,EE,MT,1
981,TR,RS,1
982,MT,BG,1
983,AT,MK,1
984,LI,SI,1
985,IS,SK,1
