,Sending Country Code,Receiving Country Code,Participants
0,IT,ES,48445
1,ES,IT,34643
2,DE,ES,27863
3,FR,ES,27188
4,DE,FR,24358
5,FR,UK,22288
6,IT,FR,20658
7,TR,PL,20109
8,IT,DE,18220
9,FR,DE,18061
10,DE,UK,17118
11,ES,FR,15602
12,ES,PL,15593
13,ES,DE,15242
14,ES,UK,15093
15,UK,FR,12058
16,FR,IT,11996
17,ES,PT,11958
18,UK,ES,11573
19,DE,IT,10771
20,DE,SE,10582
21,TR,DE,10435
22,PL,ES,9793
23,IT,PT,9412
24,DE,FI,9364
25,IT,UK,8511
26,FR,IE,8330
27,FR,SE,8106
28,PL,DE,7914
29,NL,ES,7801
30,ES,BE,7668
31,IT,PL,7425
32,NL,UK,7322
33,DE,NO,7207
34,DE,TR,7085
35,ES,NL,7025
36,BE,ES,6942
37,UK,DE,6779
38,PL,PT,6763
39,FR,FI,6686
40,DE,NL,6575
41,PL,IT,6449
42,FR,PL,6227
43,IT,BE,6048
44,PT,PL,5757
45,DE,IE,5515
46,FR,NL,5423
47,ES,CZ,5276
48,FR,NO,5145
49,PT,ES,5131
50,DE,PL,5112
51,FR,CZ,5097
52,TR,IT,5087
53,DE,PT,4987
54,IT,NL,4749
55,PT,IT,4748
56,BE,FR,4729
57,PL,FR,4471
58,CZ,DE,4275
59,UK,NL,4256
60,TR,ES,4165
61,FI,DE,4061
62,UK,IT,4053
63,ES,FI,3989
64,DE,DK,3949
65,DE,AT,3912
66,FR,BE,3876
67,ES,SE,3849
68,DE,HU,3817
69,TR,CZ,3805
70,NL,DE,3671
71,IE,FR,3564
72,NL,FR,3540
73,NL,SE,3540
74,FR,HU,3533
75,ES,IE,3517
76,DE,CZ,3198
77,SE,UK,3196
78,IT,SE,3186
79,TR,PT,3185
80,IT,AT,3152
81,FR,PT,3149
82,RO,FR,3145
83,CZ,ES,3095
84,TR,FR,3000
85,DE,BE,2967
86,FR,DK,2904
87,BE,IT,2890
88,SE,FR,2863
89,NL,FI,2784
90,DK,UK,2740
91,ES,AT,2735
92,BE,DE,2726
93,NL,IT,2726
94,FI,NL,2717
95,TR,LT,2710
96,AT,ES,2694
97,PT,CZ,2691
98,NL,NO,2680
99,TR,RO,2660
100,CZ,FR,2632
101,ES,NO,2625
102,PL,CZ,2600
103,IE,ES,2558
104,BE,UK,2529
105,TR,HU,2515
106,FR,AT,2511
107,IT,FI,2488
108,IT,CZ,2474
109,IT,RO,2465
110,CZ,PT,2463
111,ES,DK,2445
112,FR,TR,2425
113,HU,DE,2423
114,FI,UK,2375
115,TR,NL,2373
116,ES,HU,2330
117,RO,IT,2323
118,SK,CZ,2321
119,RO,ES,2304
120,FI,ES,2239
121,IE,DE,2223
122,IT,NO,2213
