Year,Economics and Business,Engineering and Technology,"Humanities, Arts and Social Science",Languages,Medicine and Health,Natural Sciences and Mathematics,Not specified,Other
2014,0.25212047836584145,0.1657809343478781,0.2619890614991518,0.1433197012677117,0.05349588574405034,0.04526737384473523,0.002829650798566873,0.07519691413206445
2015,0.25183034646430064,0.16809639277523206,0.2473465252730863,0.12842207953623405,0.05945753267889555,0.04561209318468559,0.008704991768717373,0.09053003831884847
2016,0.2516461717896206,0.17029727520686203,0.2415533249455868,0.1218350797601227,0.058256573207578356,0.04409995500004592,0.015313759883918485,0.0969978602062651
2017,0.25155824399700244,0.17155716702490947,0.24263732516031178,0.11963813737676522,0.058964222089595106,0.044443048369509124,0.016661655754845253,0.09454020022706161
2018,0.25523080720809677,0.17279684028634906,0.24295235744260676,0.1172253764502592,0.060789928412737594,0.04158973093063441,0.015018513947173538,0.09439644532214268
2019,0.257249824773345,0.1757452118960379,0.24318040652583953,0.11531908346487205,0.06128659102953495,0.03926786599577177,0.013505273894932389,0.09444574241966641
