,university,outgoing,incoming,total,pagerank,betweenness,country_code,country_name,country_continent,country_unregion
0,Alma Mater Studiorum - Universita Di Bologna,12184.0,10148.0,22332.0,0.0032024989814493,0.0173007921417542,IT,Italy,Europe,Southern Europe
1,Universidad De Granada,7366.0,9773.0,17139.0,0.0034338599548585,0.0231975830001533,ES,Spain,Europe,Southern Europe
2,Universidad Complutense De Madrid,7628.0,8701.0,16329.0,0.003461179373925,0.0188739327465195,ES,Spain,Europe,Southern Europe
3,Universitat De Valencia,5753.0,10386.0,16139.0,0.0027389362241156,0.008457202655691,ES,Spain,Europe,Southern Europe
4,Universidade De Lisboa,5944.0,9514.0,15458.0,0.0036907051698126,0.0163168458841461,PT,Portugal,Europe,Southern Europe
5,Univerzita Karlova,5847.0,8646.0,14493.0,0.0028828417795879,0.0096031552497042,CZ,Czech Republic,Europe,Eastern Europe
6,Universita Degli Studi Di Roma La Sapienza,8046.0,5490.0,13536.0,0.0024308780020186,0.0097083553225407,IT,Italy,Europe,Southern Europe
7,Katholieke Universiteit Leuven,6715.0,6802.0,13517.0,0.0026711213682198,0.0069382183439047,BE,Belgium,Europe,Western Europe
8,Univerza V Ljubljani,5785.0,7136.0,12921.0,0.0035426790080115,0.030428786231877,SI,Slovenia,Europe,Southern Europe
9,Universita Degli Studi Di Padova,7054.0,5116.0,12170.0,0.002296263447577,0.0085502678509513,IT,Italy,Europe,Southern Europe
10,Universidad De Sevilla,5675.0,6450.0,12125.0,0.0022159868972053,0.0073389922229249,ES,Spain,Europe,Southern Europe
11,Universitat De Barcelona,5510.0,6108.0,11618.0,0.0029372632893628,0.0115011597237544,ES,Spain,Europe,Southern Europe
12,Universitat Politecnica De Valencia,4205.0,7118.0,11323.0,0.0031981531160384,0.0145722373435358,ES,Spain,Europe,Southern Europe
13,Politecnico Di Milano,5275.0,5596.0,10871.0,0.0025320141553437,0.0099253875602181,IT,Italy,Europe,Southern Europe
14,Universitat Politecnica De Catalunya,5426.0,5296.0,10722.0,0.0023688507927343,0.0075844186891525,ES,Spain,Europe,Southern Europe
15,Uniwersytet Warszawski,5529.0,4210.0,9739.0,0.0017957802752532,0.0043461050957667,PL,Poland,Europe,Eastern Europe
16,Universidad De Zaragoza,5822.0,3835.0,9657.0,0.0019857905468899,0.007089729081241,ES,Spain,Europe,Southern Europe
17,Universidad De Malaga,4214.0,5374.0,9588.0,0.002501527577839,0.0118553251343311,ES,Spain,Europe,Southern Europe
18,Universidad Carlos Iii De Madrid,4907.0,4566.0,9473.0,0.0017317389606076,0.003320892100655,ES,Spain,Europe,Southern Europe
19,Universidad Del Pais Vasco/ Euskal Herriko Unibertsitatea,5555.0,3562.0,9117.0,0.0022544670580223,0.0122788263407262,ES,Spain,Europe,Southern Europe
20,Universitat Wien,3886.0,5201.0,9087.0,0.0016612483579273,0.0013732000558783,AT,Austria,Europe,Western Europe
21,Universiteit Gent,4281.0,4490.0,8771.0,0.002012001553093,0.0038775737079273,BE,Belgium,Europe,Western Europe
22,Universitat Autonoma De Barcelona,3931.0,4745.0,8676.0,0.0025665454691486,0.0099031160341081,ES,Spain,Europe,Southern Europe
23,Universidad Autonoma De Madrid,3918.0,4557.0,8475.0,0.0017412911292055,0.0033308455003204,ES,Spain,Europe,Southern Europe
24,Rijksuniversiteit Groningen,4045.0,4330.0,8375.0,0.0017271858035893,0.0016384509075162,NL,Netherlands,Europe,Western Europe
25,Universita Degli Studi Di Torino,5281.0,3082.0,8363.0,0.0015412929593907,0.0052281009824018,IT,Italy,Europe,Southern Europe
26,Universidade Nova De Lisboa,3182.0,5119.0,8301.0,0.0019980679807709,0.004937665436748,PT,Portugal,Europe,Southern Europe
27,Universidade Do Porto,3072.0,5213.0,8285.0,0.0024705234983637,0.0077723486977902,PT,Portugal,Europe,Southern Europe
28,Technische Universitaet Muenchen,3683.0,4548.0,8231.0,0.0015258883782934,0.0019406937909642,DE,Germany,Europe,Western Europe
29,Universita Degli Studi Di Milano,5586.0,2357.0,7943.0,0.00152570179842,0.0029650700936651,IT,Italy,Europe,Southern Europe
30,Universidad Politecnica De Madrid,4379.0,3473.0,7852.0,0.0020414707179324,0.0076019361682029,ES,Spain,Europe,Southern Europe
31,Universita Degli Studi Di Firenze,3192.0,4568.0,7760.0,0.0024103278788551,0.0060228507820354,IT,Italy,Europe,Southern Europe
32,Universidad De Salamanca,2953.0,4694.0,7647.0,0.0021029814386133,0.004839398778841,ES,Spain,Europe,Southern Europe
33,Norges Teknisk-Naturvitenskapelige Universitet Ntnu,1711.0,5935.0,7646.0,0.0023500975393011,0.005495589114297,NO,Norway,Europe,Northern Europe
34,Universidade De Coimbra,2603.0,5008.0,7611.0,0.0018883845260541,0.0033063059630349,PT,Portugal,Europe,Southern Europe
35,Uniwersytet Jagiellonski,3316.0,4216.0,7532.0,0.0020463495467874,0.0059310751325295,PL,Poland,Europe,Eastern Europe
36,Freie Universitaet Berlin,3469.0,4007.0,7476.0,0.0016088920349218,0.0019047448434212,DE,Germany,Europe,Western Europe
37,Universite De Strasbourg,2865.0,4499.0,7364.0,0.0018276175460317,0.0022820561905882,FR,France,Europe,Western Europe
38,Universidad De Oviedo,4395.0,2944.0,7339.0,0.0016030932844357,0.0067095387684223,ES,Spain,Europe,Southern Europe
39,Masarykova Univerzita,4331.0,2924.0,7255.0,0.0017959961717832,0.0066638584565048,CZ,Czech Republic,Europe,Eastern Europe
40,Humboldt-Universitaet Zu Berlin,3914.0,3240.0,7154.0,0.0014845426886614,0.0021103617448241,DE,Germany,Europe,Western Europe
41,Universita Commerciale Luigi Bocconi,3526.0,3551.0,7077.0,0.0006085170369706,0.0001291377188151,IT,Italy,Europe,Southern Europe
42,Universitaet Zu Koeln,4286.0,2747.0,7033.0,0.00124352090792,0.0012242691221667,DE,Germany,Europe,Western Europe
43,Universiteit Maastricht,3672.0,3353.0,7025.0,0.0012674452158662,0.0011203726057494,NL,Netherlands,Europe,Western Europe
44,Universita Degli Studi Di Napoli Federico Ii,5129.0,1860.0,6989.0,0.001217306261736,0.0036002032374619,IT,Italy,Europe,Southern Europe
45,Sveuciliste U Zagrebu,3364.0,3434.0,6798.0,0.0025373547642142,0.0139988889599741,HR,Croatia,Europe,Southern Europe
46,Universidad Pompeu Fabra,3932.0,2789.0,6721.0,0.00150148727966,0.0025437472627444,ES,Spain,Europe,Southern Europe
47,Universidad De Murcia,3528.0,3101.0,6629.0,0.0015765882720147,0.0049615221222647,ES,Spain,Europe,Southern Europe
48,Kobenhavns Universitet,3219.0,3402.0,6621.0,0.0015416847005461,0.0014356000818408,DK,Denmark,Europe,Northern Europe
49,Ludwig-Maximilians-Universitaet Muenchen,3197.0,3391.0,6588.0,0.001515493130722,0.0018031917466039,DE,Germany,Europe,Western Europe
50,Universite De Lorraine,4398.0,2060.0,6458.0,0.0013093615620676,0.0033251364694042,FR,France,Europe,Western Europe
51,Universidad Rey Juan Carlos,3353.0,3059.0,6412.0,0.00175830126124,0.0067291152512761,ES,Spain,Europe,Southern Europe
52,Universidad De Cordoba,3144.0,3254.0,6398.0,0.001508138746084,0.0046690668698299,ES,Spain,Europe,Southern Europe
53,Aarhus Universitet,2961.0,3377.0,6338.0,0.0019002586440468,0.0019416449045344,DK,Denmark,Europe,Northern Europe
54,Helsingin Yliopisto,1985.0,4209.0,6194.0,0.0017703247031961,0.00232468334252,FI,Finland,Europe,Northern Europe
55,Universidad De Las Palmas De Gran Canaria,3162.0,3005.0,6167.0,0.0015245225325326,0.0041394714786139,ES,Spain,Europe,Southern Europe
56,Westfaelische Wilhelms-Universitaet Muenster,4158.0,1985.0,6143.0,0.0013144541697926,0.0030809349759894,DE,Germany,Europe,Western Europe
57,Lunds Universitet,2070.0,4041.0,6111.0,0.0022538483494313,0.0072922063445318,SE,Sweden,Europe,Northern Europe
58,Universitaet Mannheim,3251.0,2709.0,5960.0,0.0011311428834473,0.000608076772848,DE,Germany,Europe,Western Europe
59,Universita Degli Studi Roma Tre,3222.0,2574.0,5796.0,0.0015833025027545,0.0033009921773703,IT,Italy,Europe,Southern Europe
60,Ruprecht-Karls-Universitaet Heidelberg,3157.0,2619.0,5776.0,0.0012329012946858,0.0011304949378619,DE,Germany,Europe,Western Europe
61,Universidad De Valladolid,2933.0,2771.0,5704.0,0.0017116524049273,0.0069991500658436,ES,Spain,Europe,Southern Europe
62,Universite Libre De Bruxelles,2513.0,3125.0,5638.0,0.0016188048843716,0.0018018210713514,BE,Belgium,Europe,Western Europe
63,Universitetet I Oslo,1642.0,3973.0,5615.0,0.0013422947769354,0.0008492261131258,NO,Norway,Europe,Northern Europe
64,Stockholms Universitet,1662.0,3932.0,5594.0,0.001824141420969,0.0014981869044946,SE,Sweden,Europe,Northern Europe
65,Universidad De Alicante,2458.0,3118.0,5576.0,0.0019815702551189,0.0046425099473636,ES,Spain,Europe,Southern Europe
66,"University College Dublin, National University Of Ireland, Dublin",2171.0,3402.0,5573.0,0.0013908623029116,0.0014978305706914,IE,Ireland,Europe,Northern Europe
67,Universite D'Aix Marseille,2594.0,2968.0,5562.0,0.0012622563821989,0.0011735393033377,FR,France,Europe,Western Europe
68,Vilniaus Universitetas,2991.0,2554.0,5545.0,0.0015163200458891,0.0041243540919911,LT,Lithuania,Europe,Northern Europe
69,Politecnico Di Torino,3357.0,2170.0,5527.0,0.0009216962634158,0.0010946307324206,IT,Italy,Europe,Southern Europe
70,Uniwersytet Lodzki,1949.0,3552.0,5501.0,0.0014619030832533,0.0040477709311913,PL,Poland,Europe,Eastern Europe
71,Universiteit Van Amsterdam,2643.0,2850.0,5493.0,0.001172368105207,0.0011546202486138,NL,Netherlands,Europe,Western Europe
72,Institut D'Etudes Politiques De Paris,2245.0,3216.0,5461.0,0.0009237179107049,0.0005476097593658,FR,France,Europe,Western Europe
73,Universita Degli Studi Di Palermo,4148.0,1298.0,5446.0,0.0010108506336263,0.0029815191393943,IT,Italy,Europe,Southern Europe
74,Aristotelio Panepistimio Thessalonikis,2471.0,2893.0,5364.0,0.0019246324931634,0.0051993390337832,EL,Greece,Europe,Southern Europe
75,Universitetet I Bergen,1335.0,4013.0,5348.0,0.0017978630854957,0.0032397293534963,NO,Norway,Europe,Northern Europe
76,Universidade Catolica Portuguesa,2262.0,3077.0,5339.0,0.0014320933568729,0.0019335133821627,PT,Portugal,Europe,Southern Europe
