,university,outgoing,incoming,total,pagerank,betweenness
0,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,12184.0,10148.0,22332.0,0.0032024989814493005,0.01730079214175424
1,UNIVERSIDAD DE GRANADA,7366.0,9773.0,17139.0,0.0034338599548585907,0.023197583000153333
2,UNIVERSIDAD COMPLUTENSE DE MADRID,7628.0,8701.0,16329.0,0.0034611793739250107,0.01887393274651953
3,UNIVERSITAT DE VALENCIA,5753.0,10386.0,16139.0,0.0027389362241156574,0.008457202655691012
4,UNIVERSIDADE DE LISBOA,5944.0,9514.0,15458.0,0.003690705169812646,0.016316845884146176
5,UNIVERZITA KARLOVA,5847.0,8646.0,14493.0,0.0028828417795879234,0.009603155249704272
6,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,8046.0,5490.0,13536.0,0.002430878002018684,0.009708355322540798
7,KATHOLIEKE UNIVERSITEIT LEUVEN,6715.0,6802.0,13517.0,0.0026711213682198164,0.006938218343904766
8,UNIVERZA V LJUBLJANI,5785.0,7136.0,12921.0,0.003542679008011547,0.030428786231877086
9,UNIVERSITA DEGLI STUDI DI PADOVA,7054.0,5116.0,12170.0,0.0022962634475770754,0.008550267850951313
10,UNIVERSIDAD DE SEVILLA,5675.0,6450.0,12125.0,0.0022159868972053192,0.0073389922229249414
11,UNIVERSITAT DE BARCELONA,5510.0,6108.0,11618.0,0.0029372632893628456,0.011501159723754461
12,UNIVERSITAT POLITECNICA DE VALENCIA,4205.0,7118.0,11323.0,0.0031981531160384345,0.014572237343535856
13,POLITECNICO DI MILANO,5275.0,5596.0,10871.0,0.0025320141553437678,0.009925387560218157
14,UNIVERSITAT POLITECNICA DE CATALUNYA,5426.0,5296.0,10722.0,0.0023688507927343205,0.0075844186891525535
15,UNIWERSYTET WARSZAWSKI,5529.0,4210.0,9739.0,0.001795780275253254,0.0043461050957667524
16,UNIVERSIDAD DE ZARAGOZA,5822.0,3835.0,9657.0,0.001985790546889977,0.007089729081241085
17,UNIVERSIDAD DE MALAGA,4214.0,5374.0,9588.0,0.002501527577839058,0.011855325134331147
18,UNIVERSIDAD CARLOS III DE MADRID,4907.0,4566.0,9473.0,0.0017317389606076698,0.0033208921006550205
19,UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA,5555.0,3562.0,9117.0,0.002254467058022395,0.012278826340726235
20,UNIVERSITAT WIEN,3886.0,5201.0,9087.0,0.001661248357927337,0.0013732000558783189
21,UNIVERSITEIT GENT,4281.0,4490.0,8771.0,0.0020120015530930725,0.0038775737079273175
22,UNIVERSITAT AUTONOMA DE BARCELONA,3931.0,4745.0,8676.0,0.002566545469148629,0.00990311603410817
23,UNIVERSIDAD AUTONOMA DE MADRID,3918.0,4557.0,8475.0,0.0017412911292055977,0.0033308455003204364
24,RIJKSUNIVERSITEIT GRONINGEN,4045.0,4330.0,8375.0,0.0017271858035893802,0.001638450907516218
25,UNIVERSITA DEGLI STUDI DI TORINO,5281.0,3082.0,8363.0,0.0015412929593907683,0.005228100982401835
26,UNIVERSIDADE NOVA DE LISBOA,3182.0,5119.0,8301.0,0.0019980679807709866,0.0049376654367480005
27,UNIVERSIDADE DO PORTO,3072.0,5213.0,8285.0,0.002470523498363719,0.007772348697790279
28,TECHNISCHE UNIVERSITAET MUENCHEN,3683.0,4548.0,8231.0,0.001525888378293439,0.0019406937909642
29,UNIVERSITA DEGLI STUDI DI MILANO,5586.0,2357.0,7943.0,0.0015257017984200893,0.002965070093665103
30,UNIVERSIDAD POLITECNICA DE MADRID,4379.0,3473.0,7852.0,0.0020414707179324783,0.00760193616820297
31,UNIVERSITA DEGLI STUDI DI FIRENZE,3192.0,4568.0,7760.0,0.0024103278788551274,0.006022850782035478
32,UNIVERSIDAD DE SALAMANCA,2953.0,4694.0,7647.0,0.002102981438613316,0.004839398778841018
33,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,1711.0,5935.0,7646.0,0.0023500975393011448,0.005495589114297078
34,UNIVERSIDADE DE COIMBRA,2603.0,5008.0,7611.0,0.0018883845260541084,0.0033063059630349854
35,UNIWERSYTET JAGIELLONSKI,3316.0,4216.0,7532.0,0.0020463495467874454,0.0059310751325295525
