,university,outgoing,incoming,total,pagerank,betweenness
36,FREIE UNIVERSITAET BERLIN,3469.0,4007.0,7476.0,0.0016088920349218133,0.001904744843421237
37,UNIVERSITE DE STRASBOURG,2865.0,4499.0,7364.0,0.0018276175460317022,0.0022820561905882056
38,UNIVERSIDAD DE OVIEDO,4395.0,2944.0,7339.0,0.0016030932844357695,0.006709538768422316
39,Masarykova univerzita,4331.0,2924.0,7255.0,0.0017959961717832283,0.006663858456504848
40,HUMBOLDT-UNIVERSITAET ZU BERLIN,3914.0,3240.0,7154.0,0.0014845426886614986,0.0021103617448241367
41,UNIVERSITA COMMERCIALE LUIGI BOCCONI,3526.0,3551.0,7077.0,0.0006085170369706918,0.00012913771881519861
42,UNIVERSITAET ZU KOELN,4286.0,2747.0,7033.0,0.0012435209079200405,0.001224269122166702
43,UNIVERSITEIT MAASTRICHT,3672.0,3353.0,7025.0,0.0012674452158662653,0.0011203726057494065
44,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,5129.0,1860.0,6989.0,0.0012173062617360168,0.0036002032374619648
45,SVEUCILISTE U ZAGREBU,3364.0,3434.0,6798.0,0.002537354764214268,0.013998888959974106
46,UNIVERSIDAD POMPEU FABRA,3932.0,2789.0,6721.0,0.0015014872796600808,0.002543747262744484
47,UNIVERSIDAD DE MURCIA,3528.0,3101.0,6629.0,0.0015765882720147606,0.004961522122264794
48,KOBENHAVNS UNIVERSITET,3219.0,3402.0,6621.0,0.0015416847005461471,0.0014356000818408177
49,LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,3197.0,3391.0,6588.0,0.001515493130722003,0.001803191746603927
50,UNIVERSITE DE LORRAINE,4398.0,2060.0,6458.0,0.0013093615620676353,0.003325136469404259
51,UNIVERSIDAD REY JUAN CARLOS,3353.0,3059.0,6412.0,0.001758301261240063,0.006729115251276165
52,UNIVERSIDAD DE CORDOBA,3144.0,3254.0,6398.0,0.0015081387460840372,0.004669066869829996
53,AARHUS UNIVERSITET,2961.0,3377.0,6338.0,0.0019002586440468865,0.0019416449045344252
54,HELSINGIN YLIOPISTO,1985.0,4209.0,6194.0,0.0017703247031961463,0.0023246833425200546
55,UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,3162.0,3005.0,6167.0,0.0015245225325326121,0.0041394714786139025
56,WESTFAELISCHE WILHELMS-UNIVERSITAET MUENSTER,4158.0,1985.0,6143.0,0.0013144541697926683,0.0030809349759894802
57,LUNDS UNIVERSITET,2070.0,4041.0,6111.0,0.0022538483494313004,0.007292206344531838
58,UNIVERSITAET MANNHEIM,3251.0,2709.0,5960.0,0.0011311428834473603,0.0006080767728480403
59,UNIVERSITA DEGLI STUDI ROMA TRE,3222.0,2574.0,5796.0,0.0015833025027545335,0.003300992177370371
60,RUPRECHT-KARLS-UNIVERSITAET HEIDELBERG,3157.0,2619.0,5776.0,0.0012329012946858471,0.0011304949378619141
61,UNIVERSIDAD DE VALLADOLID,2933.0,2771.0,5704.0,0.001711652404927352,0.006999150065843679
62,UNIVERSITE LIBRE DE BRUXELLES,2513.0,3125.0,5638.0,0.0016188048843716165,0.0018018210713514997
63,UNIVERSITETET I OSLO,1642.0,3973.0,5615.0,0.001342294776935447,0.0008492261131258488
64,STOCKHOLMS UNIVERSITET,1662.0,3932.0,5594.0,0.0018241414209690368,0.0014981869044946854
65,UNIVERSIDAD DE ALICANTE,2458.0,3118.0,5576.0,0.0019815702551189084,0.004642509947363637
66,"UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN",2171.0,3402.0,5573.0,0.0013908623029116095,0.001497830570691414
67,UNIVERSITE D'AIX MARSEILLE,2594.0,2968.0,5562.0,0.001262256382198939,0.0011735393033377509
68,VILNIAUS UNIVERSITETAS,2991.0,2554.0,5545.0,0.0015163200458891098,0.00412435409199119
69,POLITECNICO DI TORINO,3357.0,2170.0,5527.0,0.0009216962634158269,0.0010946307324206617
70,UNIWERSYTET LODZKI,1949.0,3552.0,5501.0,0.001461903083253347,0.004047770931191387
71,UNIVERSITEIT VAN AMSTERDAM,2643.0,2850.0,5493.0,0.0011723681052070187,0.0011546202486138856
72,INSTITUT D'ETUDES POLITIQUES DE PARIS,2245.0,3216.0,5461.0,0.0009237179107049753,0.0005476097593658944
73,UNIVERSITA DEGLI STUDI DI PALERMO,4148.0,1298.0,5446.0,0.0010108506336263248,0.002981519139394304
74,ARISTOTELIO PANEPISTIMIO THESSALONIKIS,2471.0,2893.0,5364.0,0.0019246324931634633,0.0051993390337832625
75,UNIVERSITETET I BERGEN,1335.0,4013.0,5348.0,0.0017978630854957802,0.0032397293534963635
76,UNIVERSIDADE CATOLICA PORTUGUESA,2262.0,3077.0,5339.0,0.001432093356872931,0.0019335133821627942
77,UNIVERSITAET LEIPZIG,2859.0,2452.0,5311.0,0.0013541712042406543,0.0021814016940572022
78,UNIVERSITEIT UTRECHT,2365.0,2945.0,5310.0,0.0013789980352136256,0.0011575991900043942
79,UNIVERSITE CATHOLIQUE DE LOUVAIN,2913.0,2385.0,5298.0,0.0013082670095159738,0.0012944802714208825
80,UNIVERSITY OF LIMERICK,2485.0,2710.0,5195.0,0.0015243251179090477,0.0019225763903107944
81,ALBERT-LUDWIGS-UNIVERSITAET FREIBURG,3144.0,2039.0,5183.0,0.0012860205394449088,0.0018125380708577264
82,EOTVOS LORAND TUDOMANYEGYETEM,1755.0,3412.0,5167.0,0.0015505141367927377,0.0021201067371732964
83,UNIVERSITE DE LIEGE,2169.0,2861.0,5030.0,0.0017801998144294706,0.002534943736892663
84,UNIVERSIDAD PABLO DE OLAVIDE,2285.0,2711.0,4996.0,0.0013293390644067418,0.002192335962416448
85,UPPSALA UNIVERSITET,1932.0,3059.0,4991.0,0.0012428636152128647,0.0004718471178549026
86,STICHTING KATHOLIEKE UNIVERSITEIT,1869.0,3120.0,4989.0,0.0016003048317773964,0.0016266841347141734
87,UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,2981.0,1964.0,4945.0,0.0011133168054390532,0.0016567460739894476
88,KUNGLIGA TEKNISKA HOEGSKOLAN,1538.0,3393.0,4931.0,0.0008467617670404534,0.0002914801260435346
89,VYSOKA SKOLA EKONOMICKA V PRAZE,2815.0,2112.0,4927.0,0.0008229761346526573,0.00040346236742575214
90,UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU,2794.0,2124.0,4918.0,0.00109506706202441,0.002946562897477753
91,UNIVERSIDAD DE ALCALA,2553.0,2361.0,4914.0,0.001398259902073672,0.0028180506030743074
92,THE UNIVERSITY OF EDINBURGH,1796.0,3116.0,4912.0,0.0010580726256836496,0.0012738135238160198
93,LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,2868.0,2020.0,4888.0,0.0007541523662031147,0.0002655035145580028
94,Groupe KEDGE Business School,2733.0,2134.0,4867.0,0.0007070011695965835,0.0003535635322337763
95,UNIWERSYTET WROCLAWSKI,2481.0,2377.0,4858.0,0.0014434804561213141,0.0035250753583982285
96,UNIVERZITA KOMENSKEHO V BRATISLAVE,2709.0,2144.0,4853.0,0.001247104844106188,0.0036521507842242167
97,GOETEBORGS UNIVERSITET,1666.0,3184.0,4850.0,0.002383613948746339,0.0073183693771549565
98,UNIVERSITA DI PISA,2711.0,2128.0,4839.0,0.0015233181927097577,0.003582220371571033
99,UNIVERSIDAD DE LA IGLESIA DE DEUSTO ENTIDAD RELIGIOSA,2328.0,2409.0,4737.0,0.0011491176251599135,0.0020254324970008404
100,UNIVERSITA CA' FOSCARI VENEZIA,3222.0,1508.0,4730.0,0.0010728444296355176,0.000801563962944839
101,UNIVERSITA DEGLI STUDI DI GENOVA,2895.0,1830.0,4725.0,0.001330545218413086,0.002843195585592138
102,LINKOPINGS UNIVERSITET,1488.0,3236.0,4724.0,0.0013850920060185462,0.0014614374193785604
103,EBERHARD KARLS UNIVERSITAET TUEBINGEN,2852.0,1856.0,4708.0,0.001180632782465743,0.001078020744921625
104,JOHANNES GUTENBERG-UNIVERSITAT MAINZ,2610.0,2029.0,4639.0,0.001252329570209167,0.0032534095724693407
105,UNIVERSIDAD DE CADIZ,1263.0,3371.0,4634.0,0.001566151001265026,0.003004124354289306
106,UNIVERSIDAD PONTIFICIA COMILLAS,2078.0,2551.0,4629.0,0.0011778209249949452,0.0016512848166784504
107,"UNIVERSITY COLLEGE CORK -  NATIONAL UNIVERSITY OF IRELAND, CORK",1445.0,3172.0,4617.0,0.0011008960613315814,0.0005208379990500952
108,COPENHAGEN BUSINESS SCHOOL,2418.0,2189.0,4607.0,0.00081318259083526,0.000243447816740352
109,CESKA ZEMEDELSKA UNIVERZITA V PRAZE,1537.0,3066.0,4603.0,0.0012492464920943825,0.003251647811397738
110,UNIVERSIDAD DE ALMERIA,2244.0,2349.0,4593.0,0.0012103164944201959,0.0036337876624490265
111,UNIVERSIDAD DE VIGO,2553.0,2032.0,4585.0,0.001605633011765182,0.0075193548989158
112,UNIVERSIDAD DE HUELVA,1719.0,2816.0,4535.0,0.0015936952863650578,0.003453627159880483
113,UNIVERSITA CATTOLICA DEL SACRO CUORE,2871.0,1652.0,4523.0,0.0010418577787808094,0.001153654937227327
114,UNIVERSITA DEGLI STUDI DI PERUGIA,2426.0,2093.0,4519.0,0.0011002689566198029,0.002813567933422317
115,ERASMUS UNIVERSITEIT ROTTERDAM,2192.0,2326.0,4518.0,0.0009838194720892238,0.0004551348784068569
116,UNIVERSITAET HAMBURG,2860.0,1631.0,4491.0,0.0010245918584131971,0.001671786444750765
117,GEORG-AUGUST-UNIVERSITAT GOTTINGENSTIFTUNG OFFENTLICHEN RECHTS,3106.0,1376.0,4482.0,0.0009873934297548047,0.0013591273192417245
118,RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN,2288.0,2142.0,4430.0,0.0011634778935843367,0.0015256572655293228
119,VYSOKE UCENI TECHNICKE V BRNE,2027.0,2382.0,4409.0,0.0012788728745819255,0.004233316984122334
120,UNIVERSITA DEGLI STUDI DI TRENTO,3189.0,1218.0,4407.0,0.0011199273660571266,0.0019509870911512464
121,UNIVERZA V MARIBORU,1334.0,3067.0,4401.0,0.0017436814089419942,0.0059226851703486506
122,MARMARA UNIVERSITY,2891.0,1490.0,4381.0,0.0012133854515907958,0.0047559351422438645
123,UNIVERSITA DEGLI STUDI DI CAGLIARI,2974.0,1378.0,4352.0,0.0010250232417668473,0.0029390395486808686
124,"THE PROVOST, FELLOWS, FOUNDATION SCHOLARS & THE OTHER MEMBERS OF BOARD OF THE COLLEGE OF THE HOLY & UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN",1835.0,2477.0,4312.0,0.0009438537401416478,0.0005955046596465334
125,UNIVERSITY COLLEGE LONDON,1896.0,2411.0,4307.0,0.0011478587787577357,0.0010860104107467891
126,UNIVERSITA DEGLI STUDI DI VERONA,2993.0,1299.0,4292.0,0.000944736151756855,0.0015168234605953122
127,NEOMA BUSINESS SCHOOL,2927.0,1354.0,4281.0,0.0005713045747073296,0.00028858449362662567
128,UNIVERSIDAD DE JAEN,2464.0,1798.0,4262.0,0.0010574847301032387,0.003117304605525023
129,HANZEHOGESCHOOL GRONINGEN STICHTING,1981.0,2275.0,4256.0,0.0020260934513051487,0.009029175158893659
130,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,3018.0,1211.0,4229.0,0.0008904875937218891,0.00313988231600492
131,UNIVERSITE JEAN MOULIN LYON III,1956.0,2225.0,4181.0,0.0009769897205420272,0.00047853146492234387
132,UNIVERSITE GRENOBLE ALPES,2527.0,1652.0,4179.0,0.0013775858593229233,0.0020655004840639734
133,BUDAPESTI CORVINUS EGYETEM,1569.0,2595.0,4164.0,0.0011745141522738446,0.0010909178837489656
134,CESKE VYSOKE UCENI TECHNICKE V PRAZE,1470.0,2686.0,4156.0,0.0013407081907580256,0.0022286861286002794
135,UNIVERSITE PARIS I PANTHEON-SORBONNE,1718.0,2437.0,4155.0,0.0008205954637350906,0.00036717791197358644
136,ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON,2795.0,1334.0,4129.0,0.0011136894334808091,0.0012829793960456304
137,JULIUS-MAXIMILIANS-UNIVERSITAT WURZBURG,2459.0,1653.0,4112.0,0.0010211033967149636,0.0012606392115957648
138,BUDAPESTI MUSZAKI ES GAZDASAGTUDOMANYI EGYETEM,1290.0,2821.0,4111.0,0.0013074030660915937,0.0020049872193122773
139,FRIEDRICH-ALEXANDER-UNIVERSITAET ERLANGEN NUERNBERG,2866.0,1229.0,4095.0,0.0008728241802338,0.0012759057474723621
140,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,2077.0,2007.0,4084.0,0.0012602416806473465,0.0019266484961531869
141,STICHTING HOGESCHOOL VAN AMSTERDAM,1833.0,2213.0,4046.0,0.0013481631096765843,0.002292428824138902
142,UNIVERZITA PALACKEHO V OLOMOUCI,2380.0,1611.0,3991.0,0.0011308273128873907,0.003988107672752152
143,AALTO-KORKEAKOULUSAATIO,1196.0,2787.0,3983.0,0.0016098904912914623,0.002295752936455362
144,UNIVERSITE LUMIERE LYON 2,2053.0,1893.0,3946.0,0.0009174407454415846,0.0007158784110599584
145,UNIVERSIDAD DE CASTILLA - LA MANCHA,1814.0,2130.0,3944.0,0.0015459121290417278,0.006179060417894422
146,UNIVERSIDADE DA CORUNA,1832.0,2111.0,3943.0,0.0012467671786987606,0.003101110550342281
147,UNIVERSITY OF LEEDS,1549.0,2367.0,3916.0,0.0009610873421190369,0.000898019701692716
148,UNIVERSITA DEGLI STUDI DI PAVIA,2236.0,1647.0,3883.0,0.0010022684015743501,0.001020857123014921
149,UNIVERSITA DEGLI STUDI DI SALERNO,2378.0,1499.0,3877.0,0.0010245515500369256,0.002115493382652136
150,TECHNISCHE UNIVERSITAET DRESDEN,1942.0,1919.0,3861.0,0.001225066487523207,0.0019119035306351183
151,UNIVERSITA' DEGLI STUDI DI MILANO-BICOCCA,2588.0,1262.0,3850.0,0.000999520938326671,0.0016012796487282787
152,UNIVERSITE DE NANTES,2420.0,1417.0,3837.0,0.0008705288117170773,0.0009319088598805183
153,UNIVERSITA' DEGLI STUDI DI SIENA,1729.0,2038.0,3767.0,0.001279407069082203,0.0016243330464948546
154,POLITECHNIKA WARSZAWSKA,1666.0,2050.0,3716.0,0.0010184911095979905,0.002283419344124337
155,WIRTSCHAFTSUNIVERSITAT WIEN,1627.0,2075.0,3702.0,0.0007022505634710748,0.00013323070868474408
156,UNIVERSITAT RAMON LLULL FUNDACIO,1591.0,2062.0,3653.0,0.0012396939774871887,0.002738559456935812
157,TECHNISCHE UNIVERSITEIT DELFT,1469.0,2171.0,3640.0,0.0008478337503535927,0.0002889436770870715
158,UNIVERSITY OF GLASGOW,1424.0,2205.0,3629.0,0.0009084113023514602,0.0002562500495579212
159,UNIVERSITE PARIS OUEST NANTERRE LA DEFENSE,1498.0,2130.0,3628.0,0.0009547740229226443,0.00039539225270994417
160,VILNIAUS GEDIMINO TECHNIKOS UNIVERSITETAS,1559.0,2053.0,3612.0,0.0013190913722191922,0.0032492632890821133
161,ISTANBUL TEKNIK UNIVERSITESI,2348.0,1263.0,3611.0,0.001041792052781588,0.0019054072513916894
162,UNIVERSITAT KONSTANZ,2057.0,1503.0,3560.0,0.0009358897525074529,0.0005293636301390415
163,UNIVERSITEIT LEIDEN,1617.0,1931.0,3548.0,0.0011724254063356263,0.0007381510579244253
164,INSTITUTO UNIVERSITARIO DE LISBOA,1456.0,2076.0,3532.0,0.0010236382920339015,0.0011167479257022305
165,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,2057.0,1475.0,3532.0,0.0009039415053677526,0.0016793731911920252
166,UNIVERSITY OF STRATHCLYDE,1473.0,2057.0,3530.0,0.001013744503016676,0.0005107798863522719
167,INSTITUTO POLITECNICO DO PORTO,968.0,2561.0,3529.0,0.0020060814568793658,0.011412606853509429
168,UNIVERSIDAD DE EXTREMADURA,2397.0,1129.0,3526.0,0.0007553207265099058,0.0014107432484311438
169,UNIVERSITA DEGLI STUDI DI PARMA,2005.0,1510.0,3515.0,0.0008807023394230917,0.0015295335836480817
170,RUHR-UNIVERSITAET BOCHUM,2258.0,1247.0,3505.0,0.0009841898787410553,0.0014227020146019252
171,Stichting Hogeschool Utrecht,1759.0,1738.0,3497.0,0.0011451764928040538,0.0015274462551231598
172,UNIVERSITA DEGLI STUDI DI TRIESTE,2404.0,1083.0,3487.0,0.0008179972474098887,0.0009418756841671399
173,STICHTING HOGER BEROEPSONDERWIJN HAAGLANDEN EN RIJNSTREEK,1771.0,1699.0,3470.0,0.0012783026341235601,0.005088564661704639
174,UMEA UNIVERSITET,953.0,2500.0,3453.0,0.0013882113528451015,0.0013766661521498352
175,FUNDACION UNIVERSITARIA SAN PABLO-CEU,1437.0,2011.0,3448.0,0.001100781830873704,0.0014694915822493842
176,YILDIZ TECHNICAL UNIVERSITY,2631.0,815.0,3446.0,0.0008475054909933982,0.002470249630786087
177,Istanbul Üniversitesi,2308.0,1123.0,3431.0,0.0009516815682830649,0.004044825724851978
178,UNIVERSITA DEGLI STUDI DI SASSARI,2423.0,1002.0,3425.0,0.0007980751133570941,0.0022204419197343122
179,POLITECHNIKA LODZKA,1593.0,1802.0,3395.0,0.0009228101151069187,0.003542771742897134
180,TECHNISCHE UNIVERSITAT BERLIN,1632.0,1761.0,3393.0,0.000955682950762896,0.000797536108933848
181,STICHTING VU,1486.0,1901.0,3387.0,0.0008659662827958347,0.00028453656701471714
182,THE UNIVERSITY OF SHEFFIELD,1095.0,2283.0,3378.0,0.0008942934041661114,0.00030149437066329403
183,ECOLE HAUTES ETUDES COMMERCIALES NORD,1774.0,1603.0,3377.0,0.0006770962924712223,0.00033993829559212936
184,CHALMERS TEKNISKA HOEGSKOLA AB,1038.0,2328.0,3366.0,0.0008377263622052671,0.00024200841949856083
185,SZKOLA GLOWNA HANDLOWA W WARSZAWIE,1879.0,1475.0,3354.0,0.0008356128329996915,0.0005520337284717444
186,SYDDANSK UNIVERSITET,1504.0,1848.0,3352.0,0.0013295321225376866,0.0016624992978601166
187,UNIVERSITA TA MALTA,1385.0,1944.0,3329.0,0.0017294098563540052,0.003549086049943529
188,STICHTING FONTYS,1561.0,1768.0,3329.0,0.0016521085975025928,0.007604292466299829
189,CARDIFF UNIVERSITY,1089.0,2231.0,3320.0,0.0008825399634886772,0.00027829288777947664
190,RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITAT BONN,1939.0,1378.0,3317.0,0.0010179564028530367,0.0011876497617156782
191,UNIVERSITATEA BABES BOLYAI,2028.0,1283.0,3311.0,0.0013489127251812628,0.004897584893889514
192,UNIVERSITE DU LUXEMBOURG,2635.0,658.0,3293.0,0.0006381986275559979,0.0004834771109817638
193,UNIVERSITAET REGENSBURG,1784.0,1508.0,3292.0,0.0007787041215316187,0.00048049997171935305
194,UNIVERSIDAD DE LEON,2057.0,1222.0,3279.0,0.0009207906587324708,0.0022832858814306554
195,TURUN YLIOPISTO,1525.0,1751.0,3276.0,0.0010118797318393478,0.000597956693573813
196,UNIVERSITAET GRAZ,1301.0,1971.0,3272.0,0.001317968307554579,0.0013466409120159602
197,THE UNIVERSITY OF WARWICK,1448.0,1812.0,3260.0,0.00082192519600881,0.00030314743516146717
198,UNIVERSITEIT ANTWERPEN,1408.0,1851.0,3259.0,0.0013405004864717677,0.0018356031090097681
199,UNIVERSITE DE BORDEAUX,2002.0,1250.0,3252.0,0.0010243984635574627,0.0013600095850207238
200,JOHANN WOLFGANG GOETHE-UNIVERSITATFRANKFURT AM MAIN,1969.0,1255.0,3224.0,0.0009636599952269051,0.0008586378234208047
201,UNIVERSIDADE DO MINHO,1656.0,1552.0,3208.0,0.0011130756622571717,0.0028507121729002224
202,NATIONAL UNIVERSITY OF IRELAND GALWAY,1385.0,1821.0,3206.0,0.0007252600728680402,0.00020038562854410115
203,UNIVERSIDAD DE LA LAGUNA,1198.0,1956.0,3154.0,0.0011458042484761362,0.0021693370086644146
204,STICHTING AVANS,2087.0,1056.0,3143.0,0.000981280907663248,0.002922802749512584
205,HOCHSCHULE FUR WIRTSCHAFT UND RECHT BERLIN,1613.0,1491.0,3104.0,0.0006573136923856922,0.0005652705015229452
206,EGE UNIVERSITY,2576.0,501.0,3077.0,0.000623192341991819,0.001345764993663005
207,THE UNIVERSITY OF BIRMINGHAM,1435.0,1641.0,3076.0,0.0007098976230433294,0.0002146337736474102
208,INSTITUTO POLITECNICO DE LISBOA,1130.0,1937.0,3067.0,0.0018479708584558236,0.010109093815453853
209,UNIVERSIDAD DE CANTABRIA,1832.0,1232.0,3064.0,0.000871280446492889,0.001465759083197038
210,LATVIJAS UNIVERSITATE,1152.0,1912.0,3064.0,0.0012450945787965274,0.0019367684583908842
211,THE UNIVERSITY OF EXETER,1423.0,1638.0,3061.0,0.0006624230171795852,0.00016031665400728455
212,UNIVERSIDADE DE AVEIRO,1199.0,1855.0,3054.0,0.0010686786337881493,0.002635647937942885
213,UNIVERSITE PARIS XII VAL DE MARNE,1870.0,1182.0,3052.0,0.0008769629024829819,0.0010209785000625214
214,STICHTING KATHOLIEKE UNIVERSITEIT BRABANT,1513.0,1524.0,3037.0,0.0006796338541491203,0.0001771527197278284
215,DANMARKS TEKNISKE UNIVERSITET,732.0,2298.0,3030.0,0.0008775886692302615,0.0002546650851638141
216,KARLSRUHER INSTITUT FUER TECHNOLOGIE,1693.0,1320.0,3013.0,0.0007386424955573207,0.00039158696392160944
217,VIA UNIVERSITY COLLEGE,676.0,2330.0,3006.0,0.0016213627294825268,0.0045960823475640275
218,WAGENINGEN UNIVERSITY,1625.0,1375.0,3000.0,0.0007512081573519261,0.0005195363859312798
219,STIFTELSEN HANDELSHOYSKOLEN BI,1158.0,1835.0,2993.0,0.0006621275868001257,0.00014483207335086356
220,STIFTUNG EUROPA-UNIVERSITAT VIADRINA FRANKFURT (ODER),1776.0,1186.0,2962.0,0.0006975164786636466,0.0004013122889241099
221,UNIVERSITE MONTPELLIER III PAUL VALERY,1089.0,1871.0,2960.0,0.0009076239002009833,0.001348870802574495
222,COVENTRY UNIVERSITY,1188.0,1756.0,2944.0,0.0009781931661237305,0.0018248580819584187
223,ITA-SUOMEN YLIOPISTO,774.0,2153.0,2927.0,0.0012006479565755078,0.001136633208501345
224,THE UNIVERSITY OF MANCHESTER,1015.0,1895.0,2910.0,0.0006959903536466028,0.00015321729366279648
225,Ecole Supérieure du Commerce Extérieur,1789.0,1094.0,2883.0,0.0005881234652728934,0.0004348733929370398
226,UNIVERSITE DE POITIERS,1884.0,967.0,2851.0,0.0007189988254366303,0.0006951902349451361
227,UNIVERSITAET DUISBURG-ESSEN,1958.0,877.0,2835.0,0.0007141896373355223,0.0007855080060943588
228,UNIVERSITAET STUTTGART,1639.0,1190.0,2829.0,0.0009631054110925182,0.0009762257669479919
229,OTTO-FRIEDRICH-UNIVERSITAET BAMBERG,1617.0,1204.0,2821.0,0.000814561182415955,0.000860410566060308
230,UNIVERSITE PARIS III SORBONNE NOUVELLE,1399.0,1422.0,2821.0,0.0008834885198850965,0.0005020742528989235
231,UNIVERSITAT ROVIRA I VIRGILI,1346.0,1468.0,2814.0,0.0009151194321734644,0.0017197231590203312
232,UNIVERSITE DIJON BOURGOGNE,1670.0,1130.0,2800.0,0.0006539757992188406,0.0006410924853657758
